日付,始値,高値,安値,終値,出来高,終値調整
2015/1/5,17720,17930,17590,17780,727713,17780
2015/1/6,17430,17470,17250,17270,1405279,17270
2015/1/7,17140,17350,17130,17270,737548,17270
2015/1/8,17440,17630,17390,17560,607982,17560
2015/1/9,17740,17740,17510,17570,504940,17570
2015/1/13,17330,17460,17190,17440,773909,17440
2015/1/14,17320,17410,17130,17170,754296,17170
2015/1/15,17220,17510,17210,17480,785421,17480
2015/1/16,17120,17240,16950,17240,1957143,17240
2015/1/19,17390,17420,17280,17380,504886,17380
2015/1/20,17440,17740,17440,17740,646051,17740
2015/1/21,17680,17710,17560,17660,416808,17660
2015/1/22,17690,17730,17600,17700,235868,17700
2015/1/23,17900,17920,17840,17870,609569,17870
2015/1/26,17670,17860,17660,17840,219690,17840
2015/1/27,18020,18150,18010,18140,802753,18140
2015/1/28,17980,18240,17970,18190,459966,18190
2015/1/29,18010,18170,17960,17970,525366,17970
2015/1/30,18160,18190,18050,18060,520632,18060
2015/2/2,17900,18020,17850,17940,684168,17940
2015/2/3,18050,18050,17660,17720,739820,17720
2015/2/4,17960,18130,17920,18050,650867,18050
2015/2/5,17980,18010,17860,17890,533736,17890
2015/2/6,18080,18100,17990,18010,381696,18010
2015/2/9,18170,18190,18040,18100,542282,18100
2015/2/10,18020,18060,17930,18040,396116,18040
2015/2/12,18320,18390,18300,18350,1630161,18350
2015/2/13,18290,18360,18250,18310,414289,18310
2015/2/16,18400,18460,18370,18390,489702,18390
2015/2/17,18330,18400,18280,18380,323122,18380
2015/2/18,18480,18600,18470,18580,520849,18580
2015/2/19,18620,18720,18620,18650,425594,18650
2015/2/20,18710,18760,18690,18720,516544,18720
2015/2/23,18890,18910,18800,18870,563551,18870
2015/2/24,18870,19010,18830,18990,467986,18990
2015/2/25,19040,19060,18960,19000,278318,19000
2015/2/26,19000,19210,19000,19210,609106,19210
2015/2/27,19260,19280,19130,19220,363266,19220
2015/3/2,19280,19400,19190,19220,621616,19220
2015/3/3,19330,19330,19140,19230,443600,19230
2015/3/4,19130,19150,19000,19120,306481,19120
2015/3/5,19090,19180,19060,19170,339659,19170
2015/3/6,19240,19400,19230,19390,559240,19390
2015/3/9,19300,19310,19150,19220,786307,19220
2015/3/10,19320,19340,18980,19080,730024,19080
2015/3/11,18990,19250,18980,19140,526288,19140
2015/3/12,19200,19430,19180,19400,515589,19400
2015/3/13,19560,19750,19530,19680,1212897,19680
2015/3/16,19660,19780,19640,19670,434711,19670
2015/3/17,19830,19920,19800,19890,474841,19890
2015/3/18,19850,20000,19820,19990,451918,19990
2015/3/19,19930,20000,19740,19930,754173,19930
2015/3/20,19940,20000,19840,20000,474393,20000
2015/3/23,20090,20220,20070,20210,379955,20210
2015/3/24,20160,20210,20080,20160,381376,20160
2015/3/25,20170,20220,19970,20200,410174,20200
2015/3/26,20060,20070,19830,19910,718121,19910
2015/3/27,19920,20150,19620,19820,981565,19820
2015/3/30,19830,20020,19760,19960,430275,19960
2015/3/31,20130,20150,19800,19810,493713,19810
2015/4/1,19720,19740,19450,19590,1582151,19590
2015/4/2,19650,19960,19640,19840,818907,19840
2015/4/3,19850,19970,19830,19970,386648,19970
2015/4/6,19820,19970,19770,19920,314569,19920
2015/4/7,20070,20220,20040,20170,825248,20170
2015/4/8,20270,20400,20230,20330,840757,20330
2015/4/9,20390,20500,20370,20470,543950,20470
2015/4/10,20540,20560,20390,20490,704507,20490
2015/4/13,20510,20540,20370,20460,280818,20460
2015/4/14,20370,20480,20370,20450,248581,20450
2015/4/15,20400,20470,20380,20410,341124,20410
2015/4/16,20400,20450,20290,20430,461289,20430
2015/4/17,20360,20370,20190,20220,566740,20220
2015/4/20,20090,20280,20030,20170,356353,20170
2015/4/21,20270,20460,20230,20460,465474,20460
2015/4/22,20550,20700,20530,20680,778851,20680
2015/4/23,20780,20810,20680,20760,407605,20760
2015/4/24,20680,20700,20560,20580,362832,20580
2015/4/27,20620,20620,20450,20530,345968,20530
2015/4/28,20650,20700,20590,20630,320064,20630
2015/4/30,20350,20360,20060,20100,1481651,20100
2015/5/1,20090,20120,19960,20080,563265,20080
2015/5/7,19920,20020,19820,19860,724603,19860
2015/5/8,19930,20020,19860,19970,393214,19970
2015/5/11,20220,20250,20150,20190,325895,20190
2015/5/12,20160,20200,20030,20180,356749,20180
2015/5/13,20130,20360,20060,20320,722548,20320
2015/5/14,20220,20290,20120,20150,311574,20150
2015/5/15,20280,20320,20190,20260,237398,20260
2015/5/18,20310,20460,20310,20450,288405,20450
2015/5/19,20550,20670,20510,20610,622640,20610
2015/5/20,20740,20860,20730,20780,667085,20780
2015/5/21,20800,20910,20750,20750,394677,20750
2015/5/22,20800,20870,20700,20850,245041,20850
2015/5/25,20920,21010,20900,20980,355693,20980
2015/5/26,21010,21050,20970,21050,428220,21050
2015/5/27,20950,21100,20940,21050,587789,21050
2015/5/28,21180,21250,21060,21140,577638,21140
2015/5/29,21090,21240,21080,21170,313110,21170
2015/6/1,21050,21190,20990,21160,382445,21160
2015/6/2,21190,21220,21050,21130,314707,21130
2015/6/3,21010,21100,20980,21060,386311,21060
2015/6/4,21160,21160,21020,21050,254365,21050
2015/6/5,21000,21070,20950,21050,241326,21050
2015/6/8,21130,21150,20950,21040,258575,21040
2015/6/9,20900,20930,20690,20710,1268632,20710
2015/6/10,20720,20850,20600,20630,817829,20630
2015/6/11,20760,20960,20760,20960,413144,20960
2015/6/12,21020,21030,20920,20990,294408,20990
2015/6/15,20800,20990,20800,20960,237942,20960
2015/6/16,20910,20950,20810,20850,217707,20850
2015/6/17,20890,20910,20710,20800,380800,20800
2015/6/18,20770,20790,20570,20580,698708,20580
2015/6/19,20740,20780,20650,20750,323549,20750
2015/6/22,20740,21020,20740,21010,356377,21010
