日付,start,high,low,end,volume,adjust,USD,GBP,EUR,CAD,AUD,NZD,SGD
2015/1/5,17720,17930,17590,17780,727713,17780,120.34,184.19,143.97,102.2,97.54,92.4,90.33
2015/1/6,17430,17470,17250,17270,1405279,17270,119.38,182.16,142.5,101.53,96.79,91.92,89.45
2015/1/7,17140,17350,17130,17270,737548,17270,118.84,179.8,141.02,100.42,95.8,92.01,88.98
2015/1/8,17440,17630,17390,17560,607982,17560,119.47,180.48,141.43,101.08,96.77,92.94,89.4
2015/1/9,17740,17740,17510,17570,504940,17570,119.87,180.97,141.36,101.35,97.39,93.79,89.72
2015/1/13,17330,17460,17190,17440,773909,17440,118.02,179.08,139.74,98.59,96.19,91.68,88.42
2015/1/14,17320,17410,17130,17170,754296,17170,117.65,178.49,138.51,98.39,96.21,91.08,88.26
2015/1/15,17220,17510,17210,17480,785421,17480,117.71,179.44,138.59,98.47,96.55,90.81,88.28
2015/1/16,17120,17240,16950,17240,1957143,17240,116.44,176.66,135.28,97.2,95.73,91.02,87.83
2015/1/19,17390,17420,17280,17380,504886,17380,117.39,177.54,135.71,98.05,96.66,91.51,88.52
2015/1/20,17440,17740,17440,17740,646051,17740,117.9,177.89,136.65,98.6,96.55,91.43,88.29
2015/1/21,17680,17710,17560,17660,416808,17660,118.63,179.59,137.05,98.01,96.83,90.61,88.54
2015/1/22,17690,17730,17600,17700,235868,17700,118.14,178.84,136.98,95.64,95.6,89.23,88.43
2015/1/23,17900,17920,17840,17870,609569,17870,118.53,178.07,134.66,95.79,95.25,89.13,88.59
2015/1/26,17670,17860,17660,17840,219690,17840,117.71,176.65,131.38,94.5,92.81,87.35,87.49
2015/1/27,18020,18150,18010,18140,802753,18140,118.6,178.84,133.22,94.96,93.78,88.13,88.25
2015/1/28,17980,18240,17970,18190,459966,18190,117.83,178.68,133.71,94.93,94.17,87.71,87.15
2015/1/29,18010,18170,17960,17970,525366,17970,117.71,178.38,132.88,94.03,93.1,86.52,86.99
2015/1/30,18160,18190,18050,18060,520632,18060,118.25,178.27,133.85,93.68,92.06,86.06,87.45
2015/2/2,17900,18020,17850,17940,684168,17940,117.47,177.05,132.82,92.47,91.49,85.38,86.87
2015/2/3,18050,18050,17660,17720,739820,17720,117.35,176.48,133.12,93.28,91.56,85.75,86.86
2015/2/4,17960,18130,17920,18050,650867,18050,117.83,178.55,135.01,94.86,91.7,87.06,87.53
