日付,start,high,low,end,volume,adjust,USD,GBP,EUR,CAD,AUD,NZD,SGD
2013/1/4,10960,10960,10840,10880,917587,10880,87.64,140.89,114.15,88.69,91.67,72.55,71.47
2013/1/7,10920,10940,10780,10810,423505,10810,88.08,141.38,114.92,89.19,92.32,73.14,71.7
2013/1/8,10750,10800,10660,10670,431440,10670,87.56,141.1,114.85,88.78,91.95,73.3,71.25
2013/1/9,10580,10810,10570,10760,665765,10760,87.17,139.89,113.92,88.29,91.45,73.04,70.95
2013/1/10,10840,10880,10810,10840,231724,10840,88.2,141.23,115.09,89.28,92.59,74.01,71.8
2013/1/11,11020,11030,10940,11020,548282,11020,89.22,144.21,118.38,90.76,94.43,75.29,72.98
2013/1/15,11130,11160,11050,11090,418906,11090,89.59,144.08,119.87,91.08,94.61,75.45,73.21
2013/1/16,11030,11030,10780,10780,755169,10780,88.55,142.28,117.76,89.96,93.59,74.57,72.27
2013/1/17,10860,10890,10620,10820,503233,10820,88.66,141.9,117.94,89.92,93.53,74.66,72.46
2013/1/18,11030,11120,11000,11120,661536,11120,89.92,143.58,120.29,91.2,94.8,75.26,73.49
2013/1/21,11160,11160,10910,10930,1013221,10930,89.84,142.48,119.54,90.53,94.31,74.94,73.2
2013/1/22,10960,11060,10810,10910,1102359,10910,89.78,142.13,119.45,90.4,94.35,75.09,73.03
2013/1/23,10780,10860,10660,10670,442184,10670,88.73,140.57,118.15,89.43,93.62,74.69,72.28
2013/1/24,10650,10830,10630,10820,393353,10820,88.61,140.26,117.88,88.61,93.24,74.64,72.16
2013/1/25,11040,11140,11010,11130,1007135,11130,90.56,142.92,121.07,90.3,94.61,75.78,73.54
2013/1/28,11190,11210,11010,11020,960432,11020,91.03,143.63,122.51,90.31,94.82,76.1,73.68
2013/1/29,10930,11140,10930,11090,441547,11090,90.51,142.07,121.71,89.96,94.4,75.55,73.15
2013/1/30,11120,11320,11100,11320,601271,11320,90.83,143.09,122.5,90.71,95.01,76.08,73.62
2013/1/31,11260,11350,11200,11330,646565,11330,91.14,143.99,123.66,90.91,95.02,76.25,73.65
2013/2/1,11380,11450,11340,11400,559328,11400,91.76,145.66,124.93,92.07,95.85,77.45,74.16
2013/2/4,11480,11490,11400,11470,514801,11470,92.69,145.5,126.46,92.9,96.48,78.34,74.74
2013/2/5,11310,11390,11250,11270,898665,11270,92.29,145.37,124.53,92.47,96.41,77.75,74.57
2013/2/6,11500,11710,11490,11650,1156821,11650,93.66,146.62,127.23,94,97.1,79.22,75.69
2013/2/7,11560,11660,11490,11600,957144,11600,93.56,146.45,126.41,93.92,96.43,78.27,75.51
2013/2/8,11480,11510,11340,11380,1137070,11380,93.71,147.27,125.48,93.79,96.22,78.08,75.51
2013/2/12,11630,11670,11570,11570,768578,11570,94.27,147.64,126.39,93.74,96.69,78.81,75.73
2013/2/13,11550,11580,11400,11470,407059,11470,93.34,146.3,125.51,93.14,96.52,78.53,75.43
2013/2/14,11490,11570,11450,11530,535188,11530,93.33,144.95,125.48,93.19,96.69,79.15,75.62
2013/2/15,11450,11480,11270,11380,833782,11380,92.96,144.1,124.15,92.87,96.2,79.11,75.21
2013/2/18,11550,11650,11530,11620,874150,11620,93.81,145.32,125.13,93.14,96.47,79.2,75.67
2013/2/19,11560,11620,11550,11590,279035,11590,93.82,145.12,125.18,92.83,96.85,79.32,75.72
2013/2/20,11680,11730,11650,11680,493234,11680,93.67,144.57,125.65,92.58,96.89,79.22,75.75
2013/2/21,11620,11650,11510,11520,630096,11520,93.88,143.01,124.72,92.34,96.25,78.35,75.81
2013/2/22,11450,11620,11370,11620,642473,11620,93.31,142.27,123.01,91.64,95.88,77.89,75.31
2013/2/25,11810,11880,11770,11880,810569,11880,94.07,142.35,124.06,91.96,96.79,78.74,75.97
2013/2/26,11580,11740,11560,11630,1346184,11630,92.71,140.49,121.22,90.4,95.27,77.27,74.85
2013/2/27,11650,11650,11460,11470,818467,11470,92.09,139.37,120.27,89.77,94.19,76.08,74.38
2013/2/28,11640,11790,11630,11750,1048740,11750,92.51,140.31,121.62,90.45,94.84,76.72,74.84
2013/3/1,11720,11870,11690,11810,632253,11810,92.67,140.59,121.09,89.99,94.71,76.53,74.93
