,始値,高値,安値,終値,出来高,終値調整
2016-06-02,17185.797,17362.82,17091.684,17228.035,466138.25,17228.035
2016-06-03,17041.133,17224.82,16931.176,17070.453,646091.0,17070.453
2016-06-04,16975.3,17057.598,16854.92,16947.123,323877.3,16947.123
2016-06-07,17084.18,17235.582,16932.025,17059.404,654647.8,17059.404
2016-06-08,17279.623,17426.709,17182.09,17342.883,405949.3,17342.883
2016-06-09,17492.504,17610.738,17407.467,17528.992,443209.7,17528.992
2016-06-10,17126.775,17232.318,16888.752,17032.777,580652.7,17032.777
2016-06-11,17354.562,17450.068,17229.16,17362.773,351991.66,17362.773
2016-06-14,16881.145,17036.688,16627.535,16774.31,774087.1,16774.31
2016-06-15,16650.281,16787.633,16617.53,16760.781,246896.1,16760.781
2016-06-16,16571.998,16747.213,16462.182,16582.54,591907.1,16582.54
2016-06-17,16160.348,16354.65,15925.172,16080.934,809003.6,16080.934
2016-06-18,16381.459,16553.418,16317.664,16455.518,412677.8,16455.518
2016-06-21,16537.023,16725.521,16371.314,16506.697,765271.2,16506.697
2016-06-22,16625.781,16811.383,16512.951,16682.654,590342.06,16682.654
2016-06-23,16643.363,16783.844,16556.27,16658.098,400595.3,16658.098
2016-06-24,16896.668,17098.41,16739.973,16909.77,790171.06,16909.77
2016-06-25,16537.438,16833.453,16255.594,16433.285,1033945.0,16433.285
2016-06-28,16035.444,16301.78,15774.627,15959.802,972372.2,15959.802
2016-06-29,16116.488,16399.93,15939.516,16149.774,937190.0,16149.774
2016-06-30,16023.516,16248.914,15747.913,15891.439,998571.75,15891.439
2016-07-01,16495.863,16704.518,16367.4375,16535.426,652192.8,16535.426
2016-07-02,16603.54,16777.406,16521.764,16661.076,508116.4,16661.076
2016-07-05,16557.844,16754.273,16465.783,16622.176,610283.9,16622.176
2016-07-06,16426.164,16596.637,16326.447,16464.127,531785.0,16464.127
2016-07-07,15934.052,16173.73,15718.347,15893.122,843828.25,15893.122
2016-07-08,16309.107,16485.291,16237.322,16365.982,462434.44,16365.982
2016-07-09,16140.399,16356.465,15919.311,16074.79,881046.0,16074.79
2016-07-12,16422.332,16613.756,16371.256,16532.531,488489.38,16532.531
2016-07-13,16375.953,16575.67,16220.01,16364.105,719484.4,16364.105
2016-07-14,16370.51,16533.91,16200.895,16329.717,612258.8,16329.717
2016-07-15,16657.863,16834.33,16536.719,16679.219,612050.7,16679.219
2016-07-16,16607.635,16789.855,16442.65,16598.316,679162.5,16598.316
2016-07-20,16671.37,16942.672,16456.113,16661.61,981601.7,16661.61
2016-07-21,16663.14,16879.54,16464.188,16611.34,744578.9,16611.34
2016-07-22,17233.459,17381.836,17090.049,17242.547,597780.7,17242.547
2016-07-23,17217.748,17387.19,17152.969,17302.312,477368.47,17302.312
2016-07-26,16969.396,17147.953,16876.854,17024.535,521487.72,17024.535
2016-07-27,16802.268,16966.66,16563.176,16720.479,707888.6,16720.479
2016-07-28,17042.424,17139.152,16978.314,17101.938,360686.56,17101.938
2016-07-29,16499.594,16651.771,16379.137,16494.646,478444.12,16494.646
2016-07-30,16596.016,16878.469,16395.955,16606.438,1041397.9,16606.438
2016-08-02,16546.664,16796.338,16350.34,16543.355,841783.06,16543.355
2016-08-03,16476.914,16678.32,16260.668,16408.2,782226.44,16408.2
2016-08-04,16517.154,16701.975,16375.801,16532.295,611939.9,16532.295
2016-08-05,16339.994,16595.086,16113.457,16284.777,916019.75,16284.777
2016-08-06,16671.219,16860.645,16533.287,16663.594,700501.1,16663.594
2016-08-09,16981.123,17172.004,16851.541,17009.436,745844.25,17009.436
2016-08-10,16904.42,17065.86,16803.31,16957.117,464189.94,16957.117
2016-08-11,16975.275,17145.994,16866.33,17006.633,542139.75,17006.633
2016-08-13,17112.611,17249.516,16940.979,17091.416,575876.4,17091.416
2016-08-16,17154.295,17223.53,17012.133,17117.898,251727.0,17117.898
2016-08-17,17136.7,17256.373,16883.637,17019.963,724250.9,17019.963
2016-08-18,17266.758,17367.896,17167.268,17314.281,353595.88,17314.281
2016-08-19,17116.996,17275.12,16966.076,17103.455,613434.44,17103.455
2016-08-20,17182.916,17328.117,17025.639,17190.168,515184.25,17190.168
2016-08-23,17261.33,17397.518,17067.904,17208.16,645951.8,17208.16
2016-08-24,17123.266,17256.613,16955.299,17110.463,550081.75,17110.463
2016-08-25,17254.992,17399.434,17140.578,17286.688,453670.12,17286.688
2016-08-26,17226.436,17376.367,17015.932,17162.941,709583.6,17162.941
2016-08-27,17109.172,17243.742,16935.902,17092.635,553452.44,17092.635
2016-08-30,17364.334,17516.95,17255.627,17408.535,504389.0,17408.535
2016-08-31,17266.84,17414.209,17096.434,17248.46,630630.2,17248.46
2016-09-01,17389.057,17519.32,17239.744,17387.457,535714.06,17387.457
2016-09-02,17392.81,17522.158,17228.969,17370.662,589655.5,17370.662
2016-09-03,17401.225,17531.562,17234.342,17381.107,590018.3,17381.107
2016-09-06,17397.83,17528.227,17210.203,17361.176,619533.6,17361.176
2016-09-07,17488.562,17609.795,17417.992,17563.648,276149.8,17563.648
2016-09-08,17516.518,17660.457,17294.318,17422.793,825600.1,17422.793
2016-09-09,17336.14,17434.215,17178.49,17319.094,495579.7,17319.094
2016-09-10,17543.412,17695.371,17442.152,17586.637,494337.3,17586.637
2016-09-13,17224.4,17380.162,17000.725,17169.656,744720.4,17169.656
2016-09-14,17310.318,17417.572,17161.738,17304.125,433542.2,17304.125
2016-09-15,17278.404,17413.78,17078.195,17212.28,668245.2,17212.28
2016-09-16,17133.314,17270.777,16947.56,17105.627,599262.8,17105.627
2016-09-17,17271.79,17419.549,17153.223,17308.584,486124.12,17308.584
2016-09-21,17196.078,17347.46,17007.768,17159.521,652257.75,17159.521
2016-09-22,17322.639,17474.404,17183.459,17350.027,577127.4,17350.027
2016-09-24,17320.521,17458.92,17263.828,17408.08,302620.1,17408.08
2016-09-27,17140.75,17314.344,16908.996,17056.305,793503.7,17056.305
2016-09-28,17222.693,17348.979,17093.197,17254.91,471261.88,17254.91
2016-09-29,17236.469,17387.17,17123.023,17253.736,532192.4,17253.736
2016-09-30,17317.152,17488.543,17160.95,17334.623,649737.44,17334.623
2016-10-01,17111.47,17238.691,16985.432,17136.057,421853.44,17136.057
2016-10-04,17270.201,17420.709,17118.781,17260.227,559352.6,17260.227
2016-10-05,17293.129,17422.906,17091.53,17237.62,671617.25,17237.62
2016-10-06,17405.336,17522.736,17295.334,17433.58,435442.25,17433.58
2016-10-07,17444.559,17603.463,17289.656,17442.682,651381.94,17442.682
2016-10-08,17354.072,17474.498,17207.03,17359.004,476672.56,17359.004
2016-10-12,17538.834,17676.943,17369.482,17512.244,644050.94,17512.244
2016-10-13,17360.84,17461.709,17194.607,17328.064,507773.38,17328.064
2016-10-14,17383.254,17532.365,17192.135,17340.314,683186.3,17340.314
2016-10-18,17441.37,17557.117,17322.361,17472.092,424487.44,17472.092
2016-10-20,17591.832,17725.254,17407.844,17535.797,699298.1,17535.797
2016-10-21,17532.906,17657.666,17370.041,17528.008,560776.9,17528.008
2016-10-22,17678.879,17821.752,17660.725,17810.488,212538.75,17810.488
2016-10-25,17702.469,17822.137,17451.76,17560.469,831504.1,17560.469
2016-10-26,17762.416,17850.615,17635.525,17749.688,537133.94,17749.688
2016-10-27,17959.445,18134.098,17877.363,18024.23,585738.75,18024.23
2016-10-28,17650.494,17797.275,17497.836,17665.69,550851.44,17665.69
2016-10-29,17774.453,17875.627,17559.66,17674.254,726517.4,17674.254
2016-11-01,17761.488,17844.672,17611.52,17717.486,518975.84,17717.486
2016-11-02,17793.844,17940.732,17625.027,17759.973,754747.5,17759.973
2016-11-03,17427.195,17560.43,17288.04,17456.9,495524.84,17456.9
2016-11-05,17407.125,17570.45,17303.512,17467.08,442398.38,17467.08
2016-11-08,17590.332,17714.018,17376.367,17508.918,711543.7,17508.918
2016-11-09,17598.31,17659.129,17410.03,17502.98,564027.1,17502.98
2016-11-10,17577.053,17941.053,17380.838,17568.506,1321113.2,17568.506
2016-11-11,17548.918,17860.727,17406.49,17621.568,1005880.1,17621.568
2016-11-12,17717.543,17912.709,17394.117,17548.182,941640.9,17548.182
