,始値,高値,安値,終値,出来高,終値調整
2018-06-02,22985.258,23039.682,22923.059,22999.412,209602.06,22999.412
2018-06-05,23308.252,23364.158,23268.232,23338.412,202455.44,23338.412
2018-06-06,23327.863,23358.053,23255.33,23316.64,214815.38,23316.64
2018-06-07,23500.502,23539.707,23450.703,23516.127,206871.88,23516.127
2018-06-08,23658.064,23691.03,23596.734,23655.691,225265.22,23655.691
2018-06-09,23605.438,23647.508,23512.832,23591.73,287183.38,23591.73
2018-06-12,23696.068,23736.05,23623.93,23691.57,232079.44,23691.57
2018-06-13,23746.879,23791.688,23672.264,23742.703,253532.0,23742.703
2018-06-14,23782.729,23813.031,23709.123,23770.283,214244.44,23770.283
2018-06-15,23633.586,23664.953,23563.004,23626.123,211576.44,23626.123
2018-06-16,23682.39,23714.314,23620.102,23681.582,206311.12,23681.582
2018-06-19,23513.078,23541.893,23447.246,23507.588,200992.47,23507.588
2018-06-20,23196.922,23245.846,23112.582,23198.018,251762.55,23198.018
2018-06-21,23406.57,23466.646,23332.062,23412.541,270122.88,23412.541
2018-06-22,23562.195,23616.02,23484.77,23563.613,273209.2,23563.613
2018-06-23,23342.521,23389.049,23258.559,23335.77,235429.47,23335.77
2018-06-26,23186.504,23242.615,23119.57,23201.387,209299.53,23201.387
2018-06-27,23137.81,23191.486,23050.662,23131.906,242196.48,23131.906
2018-06-28,23135.508,23187.244,23069.605,23151.336,223239.56,23151.336
2018-06-29,23083.303,23139.527,22999.086,23083.613,262954.12,23083.613
2018-06-30,23111.287,23168.295,23059.973,23138.912,200950.75,23138.912
2018-07-03,22654.258,22718.941,22529.64,22634.469,329953.16,22634.469
2018-07-04,22654.137,22761.707,22522.705,22666.523,451825.56,22666.523
2018-07-05,22261.521,22355.94,22123.953,22254.527,405208.72,22254.527
2018-07-06,22090.002,22198.672,22003.684,22127.225,296220.4,22127.225
2018-07-07,22251.744,22347.867,22152.305,22259.016,276561.12,22259.016
2018-07-10,22498.988,22575.336,22424.49,22519.521,260028.58,22519.521
2018-07-11,22728.309,22785.379,22649.352,22737.787,286353.4,22737.787
2018-07-12,22397.734,22460.611,22310.96,22405.723,262557.06,22405.723
2018-07-13,22675.191,22759.781,22638.604,22731.338,201283.56,22731.338
2018-07-14,23046.254,23106.627,22950.547,23031.002,301705.9,23031.002
2018-07-18,23278.688,23327.135,23199.012,23285.113,263963.56,23285.113
2018-07-19,23337.658,23383.281,23263.01,23336.957,245359.3,23336.957
2018-07-20,23277.828,23332.645,23204.373,23287.549,227851.81,23287.549
2018-07-21,23204.283,23258.893,23118.732,23199.78,243347.75,23199.78
2018-07-24,22912.594,22967.98,22826.975,22917.66,230660.16,22917.66
2018-07-25,23015.836,23073.184,22958.86,23038.275,209593.69,23038.275
2018-07-26,23062.318,23111.824,23005.004,23078.947,204569.0,23078.947
2018-07-27,23051.043,23098.818,22999.63,23072.094,194503.66,23072.094
2018-07-28,23157.28,23201.91,23111.57,23177.465,189423.1,23177.465
2018-07-31,23015.898,23057.062,22963.572,23031.652,186537.5,23031.652
2018-08-01,23083.455,23138.047,23022.195,23099.068,241711.48,23099.068
2018-08-03,23031.412,23080.102,22966.105,23044.467,234283.94,23044.467
2018-08-04,23032.506,23084.84,22982.678,23058.229,200090.84,23058.229
2018-08-07,22988.924,23038.73,22946.445,23014.158,172115.12,23014.158
2018-08-08,23112.088,23156.426,23066.328,23130.152,189380.72,23130.152
2018-08-09,23185.09,23220.023,23129.814,23193.234,208600.31,23193.234
2018-08-10,23102.527,23141.291,23055.475,23120.312,190249.38,23120.312
2018-08-11,22811.04,22869.498,22730.957,22821.418,262757.8,22821.418
2018-08-14,22373.115,22460.562,22223.492,22355.078,436340.88,22355.078
2018-08-15,22991.928,23084.98,22936.93,23038.63,300632.1,23038.63
2018-08-16,22590.318,22651.314,22518.598,22592.283,194193.88,22592.283
2018-08-17,22658.53,22749.906,22577.822,22683.568,265819.84,22683.568
2018-08-18,22692.957,22738.71,22603.576,22683.215,238796.44,22683.215
2018-08-21,22743.521,22806.16,22686.732,22777.822,232951.34,22777.822
