,始値,高値,安値,終値,出来高,終値調整,USD,EUR
2018-06-02,23050.17,23072.6,22968.525,23076.236,151083.03,23076.236,109.307556,128.03348
2018-06-05,23238.482,23262.826,23184.887,23266.55,162903.69,23266.55,109.706795,128.56422
2018-06-06,23225.57,23253.123,23142.863,23243.67,171314.16,23243.67,109.809494,128.69421
2018-06-07,23365.37,23396.574,23295.79,23385.693,182437.16,23385.693,109.843704,129.0927
2018-06-08,23591.992,23631.398,23511.293,23615.451,202428.16,23615.451,110.17907,130.04175
2018-06-09,23503.193,23560.648,23404.398,23527.78,298207.53,23527.78,109.52829,129.9107
2018-06-12,23572.725,23627.164,23494.787,23607.902,245383.86,23607.902,109.39642,129.32265
2018-06-13,23632.484,23678.834,23539.316,23645.188,260469.08,23645.188,109.9855,129.78375
2018-06-14,23701.496,23731.201,23612.377,23708.55,212938.5,23708.55,110.353264,130.19958
2018-06-15,23511.395,23543.725,23418.586,23520.482,206919.78,23520.482,110.0065,130.29218
2018-06-16,23467.479,23509.215,23413.594,23505.457,188415.9,23505.457,110.28612,128.09169
2018-06-19,23293.713,23308.05,23191.39,23287.523,178793.03,23287.523,110.13477,127.92613
2018-06-20,23132.324,23164.057,23053.887,23164.17,232960.31,23164.17,109.83338,128.27719
2018-06-21,23279.605,23318.596,23218.717,23322.51,227725.22,23322.51,110.13944,127.82307
2018-06-22,23359.312,23377.35,23260.027,23351.482,238978.94,23351.482,110.32258,128.16483
2018-06-23,23249.932,23265.021,23156.525,23258.578,196472.47,23258.578,110.07719,128.31793
2018-06-26,23057.375,23091.09,22979.488,23082.96,204349.38,23082.96,109.27039,127.73861
2018-06-27,23123.588,23161.889,23046.293,23155.943,215267.53,23155.943,109.69229,128.68733
2018-06-28,23054.838,23090.203,22992.65,23085.283,185574.88,23085.283,109.69673,128.23871
2018-06-29,22951.402,22981.78,22873.387,22970.602,211502.03,22970.602,109.86397,127.488976
2018-06-30,23021.64,23038.043,22953.18,23032.695,171672.0,23032.695,110.3415,127.95664
2018-07-03,22700.062,22746.852,22596.95,22723.143,314701.53,22723.143,110.27066,129.153
2018-07-04,22712.453,22804.5,22648.064,22777.215,468352.7,22777.215,110.535095,129.09657
2018-07-05,22265.021,22335.502,22142.43,22280.225,386538.56,22280.225,110.48107,129.10318
2018-07-06,21993.143,22051.143,21899.834,21995.816,327889.88,21995.816,110.00679,128.46762
2018-07-07,22240.094,22287.586,22126.738,22233.404,267159.2,22233.404,110.60562,129.45094
2018-07-10,22552.31,22600.883,22453.598,22542.137,220720.56,22542.137,110.394295,130.0415
2018-07-11,22729.842,22780.662,22631.94,22731.53,238170.69,22731.53,110.67095,130.54492
