,start,high,low,end,volume,USD,GBP,EUR,CAD,AUD,NZD,SGD
2018-06-02,22933.512,23029.775,22857.555,22933.555,192144.62,108.487946,144.1816,127.60559,83.59574,81.96166,76.25032,81.08133
2018-06-05,23318.814,23446.328,23327.898,23398.68,171109.12,109.88423,146.63753,128.86365,84.85766,83.04216,76.79964,82.0379
2018-06-06,23299.594,23382.377,23243.238,23299.64,162903.84,109.335594,145.43561,128.38622,84.224365,83.28509,76.99169,81.67079
2018-06-07,23511.848,23619.586,23514.848,23579.375,113310.75,109.950874,147.30753,129.36227,85.08982,83.751236,77.3906,82.40545
2018-06-08,23603.383,23700.52,23550.535,23606.22,171037.38,109.71399,147.66096,130.08836,84.85901,84.08736,77.67378,82.35321
2018-06-09,23516.36,23643.016,23500.63,23578.635,217759.38,109.54225,147.36089,129.99495,84.75281,83.53149,77.11426,82.26868
2018-06-12,23547.45,23653.236,23486.107,23560.805,173376.12,108.936714,146.33615,129.13733,84.21622,82.98132,77.08852,81.79383
2018-06-13,23632.44,23760.875,23618.984,23694.527,206032.47,109.76698,146.8089,129.86038,84.77014,83.2867,77.14744,82.23209
2018-06-14,23698.072,23811.219,23670.422,23736.855,156673.38,110.16169,147.24068,129.84955,84.72596,83.2547,77.27355,82.34761
2018-06-15,23543.738,23651.734,23522.883,23587.834,138037.53,109.81962,147.24054,130.14998,84.79959,83.20307,77.314186,82.3229
2018-06-16,23547.395,23663.441,23544.332,23614.86,134955.72,110.06675,145.92361,128.1853,84.0677,82.25155,76.923996,81.92941
2018-06-19,23378.059,23486.521,23349.793,23412.117,137813.1,109.99717,145.96925,127.88839,83.336624,81.86601,76.44842,81.54511
2018-06-20,23062.492,23185.092,23038.652,23116.877,178097.88,109.58658,145.46393,127.964134,83.26116,81.40759,76.12831,81.34934
2018-06-21,23264.973,23371.078,23216.086,23290.203,210593.97,109.844,144.5728,127.461395,83.04883,81.60844,76.40017,81.26169
2018-06-22,23369.24,23503.893,23356.13,23437.48,196079.88,110.48449,145.4652,127.90866,83.360756,81.670204,75.85321,81.58929
2018-06-23,23208.129,23313.547,23137.768,23208.049,199558.38,109.84216,145.92235,127.69656,82.86541,81.69419,75.9272,81.2171
2018-06-26,23093.941,23216.7,23044.592,23124.9,189580.28,109.14621,144.86452,127.55798,82.761795,81.40303,75.83996,80.79537
2018-06-27,23064.295,23183.793,22985.873,23069.273,229152.88,109.456474,145.44498,128.40712,83.01775,81.672035,75.87166,80.89994
2018-06-28,23023.51,23156.223,22979.324,23069.184,203397.06,109.672066,145.15085,127.97279,82.98113,81.29181,75.157684,80.91626
2018-06-29,22862.861,22989.582,22805.863,22896.434,233530.03,109.63169,143.76042,126.97108,82.61873,80.896614,74.42477,80.53718
2018-06-30,22997.006,23124.303,22978.652,23063.398,187911.88,110.28127,144.03304,127.43243,83.44156,81.15952,74.34531,80.93118
2018-07-03,22438.277,22594.736,22371.91,22482.355,299936.3,110.140015,144.61981,128.66075,83.72452,81.10808,74.14241,80.81402
2018-07-04,22527.064,22689.455,22472.227,22590.682,432639.38,111.08123,145.64194,129.27039,84.55582,81.7784,74.36174,81.29664
2018-07-05,22114.75,22254.621,21997.504,22126.797,363341.8,110.323586,145.53473,128.71364,84.120865,81.65903,74.294495,81.07084
2018-07-06,21888.254,22042.166,21800.252,21916.041,341044.7,109.86848,145.19992,128.74261,83.73682,81.08661,74.218506,80.83923
2018-07-07,22200.727,22342.605,22134.746,22235.516,328617.4,110.48702,145.05775,129.21545,83.97164,81.501945,74.95563,81.095764
2018-07-10,22468.03,22607.795,22438.213,22530.559,208273.5,110.49614,145.45128,129.4377,84.25835,81.914955,75.16161,81.37317
2018-07-11,22678.045,22813.084,22643.076,22722.46,229097.34,110.67192,145.63322,130.17787,84.475746,82.532486,75.670876,81.71684
2018-07-12,22290.057,22414.88,22246.104,22338.6,229573.1,110.5966,145.78142,129.8318,84.122086,81.920654,75.00668,81.43231
2018-07-13,22682.793,22822.389,22669.594,22760.791,207114.34,112.09815,146.74039,130.57481,85.19242,82.52264,75.678246,82.300804
2018-07-14,22969.455,23113.615,22964.176,23042.096,266447.56,112.60342,147.24489,131.10013,85.51,83.39267,76.173645,82.60653
2018-07-18,23123.816,23254.371,23122.393,23197.162,215568.31,112.62763,147.99202,131.00565,85.7473,83.4966,76.22958,82.65039
2018-07-19,23186.262,23318.902,23170.941,23249.764,211643.38,112.64358,147.08514,130.91046,85.7168,83.287994,76.497116,82.625854
