,start,end,USD,EUR
2018-06-02,22973.156,22986.871,108.95468,127.347275
2018-06-05,23223.871,23230.012,109.79271,127.991425
2018-06-06,23256.848,23246.473,109.65378,128.08296
2018-06-07,23361.508,23333.373,109.84459,128.64384
2018-06-08,23477.738,23454.574,109.800026,129.48305
2018-06-09,23409.121,23390.719,109.66903,129.47559
2018-06-12,23494.56,23468.678,109.396286,128.92134
2018-06-13,23541.547,23520.648,109.90598,129.19746
2018-06-14,23612.355,23588.13,110.34582,129.54889
2018-06-15,23397.355,23382.643,110.02463,129.52554
2018-06-16,23426.002,23399.725,110.58903,127.39635
2018-06-19,23181.703,23175.299,110.337395,127.38838
2018-06-20,22874.973,22895.834,109.70038,127.290016
2018-06-21,23179.406,23148.918,110.25666,127.36078
2018-06-22,23233.893,23214.18,110.64578,127.805756
2018-06-23,23116.514,23092.604,110.38327,127.70036
2018-06-26,22952.768,22928.531,109.67236,127.489456
2018-06-27,22973.625,22956.412,109.941185,128.5207
2018-06-28,22957.008,22942.455,110.28358,128.11777
2018-06-29,22886.604,22875.3,110.43009,127.163284
2018-06-30,22896.95,22900.56,110.55613,127.62274
2018-07-03,22500.738,22550.682,110.336876,128.65846
2018-07-04,22602.764,22627.637,111.10376,128.9644
2018-07-05,22211.465,22235.861,110.92948,128.83313
2018-07-06,22020.975,22052.021,110.79315,128.51003
2018-07-07,22338.088,22333.41,111.12793,129.34714
2018-07-10,22537.184,22532.816,110.87288,130.02374
2018-07-11,22728.346,22740.33,111.05255,130.43051
2018-07-12,22366.914,22378.89,111.20881,130.16623
2018-07-13,22714.3,22720.527,112.58011,130.85674
2018-07-14,23051.223,23018.695,112.79314,131.10367
2018-07-18,23109.797,23097.518,112.631905,131.61119
2018-07-19,23170.88,23167.08,112.79143,131.24702
2018-07-20,23165.566,23149.4,112.67392,130.959
2018-07-21,23038.8,23040.494,112.72655,131.0498
2018-07-24,22801.209,22788.912,111.11189,130.0187
2018-07-25,22974.236,22962.727,111.52277,130.09242
2018-07-26,22986.588,22979.877,111.45398,129.99313
2018-07-27,23012.512,23002.453,110.876465,129.76857
2018-07-28,23094.21,23096.72,111.55326,129.49242
2018-07-31,22930.75,22953.9,111.287506,129.26529
2018-08-01,23002.473,23004.875,111.28087,129.88464
2018-08-02,23149.01,23146.736,112.02647,130.69012
2018-08-03,22882.418,22920.906,111.78822,129.8682
2018-08-04,22963.564,22977.975,112.010574,129.04495
2018-08-07,22965.762,22977.797,111.4495,128.28401
2018-08-08,23026.51,23052.908,111.57127,128.5686
2018-08-09,23128.768,23138.023,111.7482,129.14812
2018-08-10,22949.102,22966.914,111.16208,128.5167
2018-08-11,22632.87,22697.049,110.73556,127.20204
2018-08-14,22303.232,22358.207,110.75032,125.306595
2018-08-15,22754.08,22776.883,111.49224,126.397385
2018-08-16,22492.201,22568.14,111.48716,125.84797
2018-08-17,22602.139,22637.246,111.52601,125.589615
2018-08-18,22662.4,22695.332,111.240875,125.90244
2018-08-21,22556.895,22620.32,110.765144,126.1741
2018-08-22,22692.445,22727.275,110.444115,126.68705
2018-08-23,22824.66,22852.04,110.71209,127.86464
2018-08-24,22831.594,22881.977,111.37395,128.26991
2018-08-25,22981.305,23023.793,112.1231,128.66115
2018-08-28,23203.691,23212.871,111.5751,129.23929
2018-08-29,23156.05,23198.023,111.16062,129.70808
2018-08-30,23250.035,23292.812,111.48847,129.82129
2018-08-31,23298.22,23336.525,112.08068,130.5872
2018-09-01,23239.373,23267.908,112.05811,129.61995
