,start,high,low,end,adjust,USD
2018-06-02,22972.719,23109.686,22868.17,22996.25,22996.25,109.17221
2018-06-05,23350.234,23461.34,23258.516,23367.436,23367.436,109.99394
2018-06-06,23355.07,23436.557,23248.52,23349.791,23349.791,110.168846
2018-06-07,23491.445,23573.113,23379.322,23478.107,23478.107,110.17192
2018-06-08,23671.668,23748.803,23568.154,23657.799,23657.799,110.42133
2018-06-09,23540.064,23645.562,23422.148,23541.426,23541.426,110.09786
2018-06-12,23682.621,23762.889,23569.316,23662.25,23662.25,109.88951
2018-06-13,23690.662,23797.795,23580.682,23696.98,23696.98,110.44443
2018-06-14,23784.021,23874.168,23680.729,23786.37,23786.37,110.757484
2018-06-15,23623.797,23716.252,23504.494,23620.55,23620.55,110.56655
2018-06-16,23713.285,23803.422,23602.9,23705.992,23705.992,110.76677
2018-06-19,23510.594,23615.283,23391.508,23511.227,23511.227,110.6162
2018-06-20,23183.291,23323.352,23054.03,23196.496,23196.496,110.06498
2018-06-21,23433.236,23534.387,23325.178,23426.48,23426.48,110.35906
2018-06-22,23454.287,23560.684,23340.96,23460.508,23460.508,110.879715
2018-06-23,23333.773,23427.885,23212.996,23323.49,23323.49,110.411064
2018-06-26,23222.797,23337.836,23098.486,23214.14,23214.14,109.72749
2018-06-27,23196.775,23300.299,23078.137,23186.305,23186.305,109.82191
2018-06-28,23071.117,23200.125,22952.602,23080.98,23080.98,110.03082
2018-06-29,23098.457,23217.941,22992.37,23109.236,23109.236,110.15187
2018-06-30,23138.963,23249.443,23030.836,23146.977,23146.977,110.584305
2018-07-03,22660.162,22827.838,22538.17,22700.225,22700.225,110.518616
2018-07-04,22746.684,22878.02,22646.584,22765.965,22765.965,110.75513
2018-07-05,22210.781,22322.854,22066.355,22200.586,22200.586,110.580124
2018-07-06,22037.512,22202.123,21923.59,22057.625,22057.625,110.37746
2018-07-07,22347.906,22472.771,22274.219,22370.566,22370.566,110.8588
2018-07-10,22546.908,22662.594,22448.527,22564.598,22564.598,110.8166
2018-07-11,22762.484,22846.734,22666.408,22757.508,22757.508,111.20988
2018-07-12,22371.213,22475.37,22252.67,22371.352,22371.352,110.942184
2018-07-13,22737.385,22823.188,22655.418,22741.709,22741.709,112.35955
2018-07-14,23054.422,23137.656,22977.463,23074.84,23074.84,113.11471
2018-07-18,23227.723,23290.184,23126.797,23222.691,23222.691,112.79826
2018-07-19,23350.69,23406.43,23245.695,23334.236,23334.236,112.91487
2018-07-20,23304.904,23376.924,23193.55,23294.797,23294.797,112.62077
2018-07-21,23239.873,23326.918,23124.613,23237.055,23237.055,112.57805
2018-07-24,22909.646,23009.475,22769.633,22889.67,22889.67,111.05583
2018-07-25,23098.365,23219.037,22990.336,23101.459,23101.459,111.14292
2018-07-26,23084.309,23201.691,22981.191,23099.32,23099.32,111.312035
2018-07-27,23103.61,23219.934,22991.264,23113.777,23113.777,110.82149
2018-07-28,23245.549,23333.426,23141.512,23241.29,23241.29,111.29582
2018-07-31,23031.207,23139.346,22912.473,23035.76,23035.76,111.206764
2018-08-01,23098.633,23202.854,22990.273,23098.955,23098.955,111.23652
2018-08-02,23238.182,23339.512,23137.834,23249.73,23249.73,112.036705
2018-08-03,22995.906,23113.14,22880.928,23010.76,23010.76,111.733696
2018-08-04,23121.127,23219.98,23016.502,23124.012,23124.012,111.77884
2018-08-07,23067.363,23158.21,22952.672,23058.922,23058.922,111.39535
2018-08-08,23181.816,23278.645,23072.707,23179.73,23179.73,111.47371
2018-08-09,23173.602,23274.861,23066.438,23178.838,23178.838,111.63724
2018-08-10,23130.02,23228.29,23013.67,23125.062,23125.062,111.05817
2018-08-11,22830.879,22965.408,22704.953,22839.629,22839.629,110.70633
2018-08-14,22454.3,22610.887,22329.883,22476.03,22476.03,110.30166
2018-08-15,22898.395,23008.93,22807.49,22906.332,22906.332,111.12613
2018-08-16,22631.613,22763.025,22517.873,22656.79,22656.79,111.45526
2018-08-17,22723.266,22816.74,22615.906,22712.883,22712.883,110.96788
2018-08-18,22790.953,22886.87,22679.914,22780.65,22780.65,110.99817
2018-08-21,22697.238,22812.59,22588.145,22700.635,22700.635,110.51678
2018-08-22,22777.193,22873.754,22665.316,22764.652,22764.652,110.167244
2018-08-23,22813.49,22923.562,22700.473,22813.008,22813.008,110.45529
2018-08-24,22914.756,23026.047,22818.832,22927.195,22927.195,110.88599
2018-08-25,23101.266,23194.488,23011.219,23114.531,23114.531,111.671844
2018-08-28,23307.396,23373.22,23204.5,23293.414,23293.414,111.62989
2018-08-29,23341.055,23433.2,23229.414,23337.004,23337.004,111.23922
2018-08-30,23450.156,23532.404,23344.969,23443.037,23443.037,111.30838
2018-08-31,23413.416,23517.336,23304.281,23424.297,23424.297,111.745804
2018-09-01,23364.102,23444.047,23246.332,23350.81,23350.81,111.41582
2018-09-04,23249.58,23354.42,23125.736,23244.543,23244.543,111.09788
2018-09-05,23245.855,23353.035,23136.29,23245.693,23245.693,111.04563
