,start,high,low,end,volume,adjust,USD
2018-06-02,22949.098,23032.54,22862.775,22969.344,208702.16,22969.344,108.75714
2018-06-05,23220.016,23286.316,23126.156,23189.094,186453.44,23189.094,109.75985
2018-06-06,23314.104,23363.818,23214.816,23290.408,206607.28,23290.408,109.823006
2018-06-07,23406.469,23444.3,23299.125,23362.898,187588.34,23362.898,110.03229
2018-06-08,23658.758,23693.902,23558.363,23621.727,205062.44,23621.727,110.39958
2018-06-09,23618.625,23665.875,23496.098,23600.992,301691.06,23600.992,109.77759
2018-06-12,23662.285,23710.68,23547.785,23646.246,233365.25,23646.246,109.82027
2018-06-13,23750.102,23813.05,23658.031,23743.574,234393.62,23743.574,110.4581
2018-06-14,23809.936,23847.111,23690.273,23762.613,240113.47,23762.613,110.64958
2018-06-15,23582.385,23624.512,23469.518,23551.156,199453.5,23551.156,110.29901
2018-06-16,23680.996,23727.125,23581.848,23650.979,199138.38,23650.979,110.69465
2018-06-19,23516.111,23555.477,23400.307,23478.89,211216.97,23478.89,110.338264
2018-06-20,23143.035,23215.658,23033.652,23149.79,248381.86,23149.79,109.56554
2018-06-21,23385.715,23474.371,23289.365,23402.727,269257.94,23402.727,110.0787
2018-06-22,23524.682,23605.414,23419.059,23522.578,271020.25,23522.578,110.520966
2018-06-23,23312.176,23387.578,23196.768,23312.068,255319.78,23312.068,110.12243
2018-06-26,23126.486,23196.514,23015.123,23117.83,214010.78,23117.83,109.416176
2018-06-27,23128.238,23224.232,23038.588,23164.883,247001.48,23164.883,109.4108
2018-06-28,23048.242,23133.652,22943.959,23040.473,216450.44,23040.473,109.62939
2018-06-29,23039.05,23138.77,22950.656,23071.164,251470.92,23071.164,109.733864
2018-06-30,23056.908,23138.303,22953.043,23036.748,200075.19,23036.748,110.32207
2018-07-03,22660.816,22788.002,22566.537,22723.123,325919.75,22723.123,109.72316
2018-07-04,22675.45,22848.021,22557.83,22745.584,455895.75,22745.584,110.23381
2018-07-05,22324.596,22513.482,22202.125,22421.842,412394.06,22421.842,110.28671
2018-07-06,22029.648,22211.092,21914.5,22076.36,291940.25,22076.36,110.4415
2018-07-07,22245.297,22415.605,22153.28,22308.168,283650.1,22308.168,110.51349
2018-07-10,22386.037,22517.332,22281.84,22404.646,232293.66,22404.646,110.25284
2018-07-11,22610.855,22737.193,22531.275,22649.309,223861.34,22649.309,110.61136
2018-07-12,22323.508,22451.092,22219.428,22363.227,271901.7,22363.227,110.2961
2018-07-13,22580.672,22710.197,22503.71,22601.898,179077.12,22601.898,112.033936
2018-07-14,23073.154,23170.855,22981.234,23071.201,280820.0,23071.201,112.54971
2018-07-18,23232.283,23300.074,23096.666,23198.32,270145.06,23198.32,112.26554
2018-07-19,23299.682,23390.656,23205.088,23309.79,207523.53,23309.79,112.841415
2018-07-20,23326.047,23399.885,23203.188,23306.408,271345.16,23306.408,112.4746
2018-07-21,23212.043,23305.31,23095.98,23218.242,241808.81,23218.242,112.3824
2018-07-24,22806.861,22898.178,22679.617,22819.467,250591.66,22819.467,110.78874
2018-07-25,22952.395,23062.945,22856.996,22976.242,201480.28,22976.242,110.97039
2018-07-26,23031.717,23128.86,22937.605,23044.906,215051.62,23044.906,111.00246
2018-07-27,22972.44,23048.691,22857.367,22955.26,210074.28,22955.26,110.356606
2018-07-28,23112.441,23199.383,23027.61,23119.586,176882.56,23119.586,110.941284
2018-07-31,22995.127,23069.412,22890.812,22980.867,207287.12,22980.867,110.71969
2018-08-01,23010.37,23096.86,22912.8,23017.055,229779.06,23017.055,110.73024
2018-08-02,23218.973,23299.516,23122.572,23201.297,199307.53,23201.297,111.690704
2018-08-03,23003.965,23083.223,22895.58,23004.584,240746.75,23004.584,111.19461
2018-08-04,22984.576,23070.459,22879.527,22975.418,198812.03,22975.418,111.49505
2018-08-07,22982.75,23056.896,22879.236,22980.777,200372.69,22980.777,110.99542
2018-08-08,23076.56,23151.502,22977.123,23062.838,183355.28,23062.838,111.19093
2018-08-09,23142.992,23213.652,23042.164,23130.537,206667.81,23130.537,111.12244
2018-08-10,23043.865,23110.498,22932.729,23029.201,202420.22,23029.201,110.66557
